ph,temperature_c,turbidity_ntu,dissolved_oxygen,conductivity_us,ph_category
7.13,31.38,3.61,5.54,387,1
8.41,16.86,5.27,9.23,416,1
7.08,22.89,4.47,11.91,552,1
7.53,29.76,2.95,9.7,569,1
7.01,20.15,5.28,9.98,318,1
8.37,30.05,1.94,11.89,415,1
6.83,25.08,3.84,9.75,208,0
6.59,30.01,5.88,5.28,446,0
7.37,24.29,4.43,11.07,261,1
8.48,22.36,8.33,7.55,229,1
8.28,19.38,2.94,5.03,468,1
8.0,19.17,9.71,8.55,271,1
8.28,30.03,7.95,11.56,390,1
8.29,17.38,9.69,6.8,240,1
7.54,16.72,8.46,8.44,498,1
7.13,18.53,1.85,6.22,505,1
8.04,18.51,5.5,5.4,429,1
7.82,31.46,2.11,5.56,534,1
7.25,22.97,8.27,10.09,374,1
6.69,34.81,6.05,11.05,274,0
7.99,17.74,3.0,6.0,260,1
7.02,28.07,9.33,7.02,287,1
8.37,23.97,1.59,6.37,280,1
6.98,22.86,5.86,5.19,329,0
6.75,32.5,7.35,8.87,285,0
8.16,34.51,1.06,9.9,436,1
6.81,32.46,6.18,9.54,259,0
6.86,18.85,8.25,7.72,448,0
7.7,19.42,1.14,8.89,333,1
8.25,28.12,5.37,5.66,474,1
6.89,20.78,2.96,6.08,405,0
7.12,29.69,6.8,11.52,562,1
8.05,26.33,1.63,10.33,375,1
8.44,26.02,9.4,11.46,318,1
7.5,31.57,9.0,11.42,435,1
6.79,29.21,2.27,9.55,463,0
6.53,15.53,3.57,11.5,375,0
6.96,15.99,6.08,7.92,423,0
6.76,27.03,7.32,5.03,388,0
7.86,24.72,4.71,5.44,322,1
6.74,20.2,1.98,5.77,325,0
7.51,23.37,1.49,5.67,562,1
7.89,30.16,10.0,7.46,470,1
7.66,31.53,4.83,9.91,238,1
6.9,26.22,8.79,10.53,584,0
8.11,22.71,5.08,9.13,484,1
7.93,20.41,9.26,6.03,220,1
7.98,25.44,1.33,10.24,491,1
6.76,21.29,1.58,7.48,435,0
6.75,26.28,9.33,5.09,566,0
8.36,28.53,9.5,6.96,395,1
7.3,16.32,3.49,7.31,407,1
7.1,15.02,3.87,6.92,325,1
7.48,19.25,4.8,10.68,328,1
7.83,32.89,4.45,10.32,447,1
8.41,27.93,2.31,9.87,531,1
7.07,18.44,9.03,5.97,556,1
8.35,32.81,2.91,10.65,508,1
6.55,24.4,7.2,9.74,443,0
7.61,24.52,1.14,6.36,400,1
7.77,33.71,0.87,9.54,335,1
6.71,16.19,6.71,8.38,507,0
6.78,19.3,3.72,8.08,327,0
7.34,26.72,6.73,5.78,307,1
8.43,18.91,1.39,8.63,547,1
7.69,28.59,9.52,5.7,435,1
8.37,19.28,7.61,6.15,341,1
8.11,16.98,8.82,5.93,546,1
7.43,19.14,1.8,11.68,585,1
8.07,23.45,3.54,6.99,327,1
6.54,18.52,4.0,7.49,408,0
6.72,17.69,5.6,7.25,393,0
8.16,32.21,3.32,11.29,480,1
8.09,21.41,1.08,8.94,580,1
6.97,22.22,4.0,11.43,419,0
7.56,16.11,2.92,7.1,519,1
7.71,22.15,4.17,5.8,438,1
8.24,20.3,2.37,8.89,554,1
7.71,27.21,2.99,7.42,361,1
7.33,19.11,6.46,10.61,354,1
7.25,32.77,4.19,11.16,368,1
7.35,33.59,3.78,8.31,598,1
7.8,17.0,5.57,11.8,444,1
8.23,17.15,7.83,8.87,261,1
7.41,17.31,4.1,6.9,216,1
7.0,27.39,6.08,8.42,407,1
6.97,17.44,9.68,5.26,522,0
7.99,32.05,5.46,10.63,391,1
8.13,30.09,9.14,5.71,424,1
6.71,31.4,8.04,7.16,519,0
6.63,25.52,1.06,8.96,406,0
7.69,34.93,4.58,5.3,563,1
6.79,15.88,7.13,5.56,455,0
8.15,23.03,9.87,9.87,492,1
7.12,21.48,4.85,5.5,512,1
6.79,33.97,1.38,8.34,450,0
8.34,26.54,5.84,7.37,220,1
6.83,31.12,1.7,6.6,370,0
7.07,18.41,7.64,6.32,256,1
6.81,34.57,5.32,10.34,404,0
6.73,24.97,7.37,11.66,257,0
6.54,24.87,8.76,5.98,403,0
6.61,34.42,6.48,11.72,337,0
6.85,22.61,6.32,9.16,208,0
6.61,22.95,7.67,9.49,249,0
7.68,26.7,8.5,9.97,401,1
7.86,17.56,8.76,9.93,231,1
7.29,21.42,0.85,10.74,542,1
7.14,18.86,5.78,8.38,503,1
7.51,17.07,2.55,8.73,483,1
8.25,32.32,8.67,7.27,268,1
8.2,26.79,6.66,5.74,518,1
6.59,22.17,4.49,9.65,453,0
6.86,23.17,2.29,5.24,356,0
6.97,23.63,3.72,6.93,200,0
7.0,27.66,7.19,5.66,411,1
7.64,33.54,2.44,6.34,518,1
7.33,33.66,1.39,9.47,213,1
6.6,22.83,8.94,9.4,221,0
7.25,21.59,7.76,7.95,353,1
7.55,24.02,2.4,5.63,404,1
6.7,26.36,3.28,8.03,389,0
8.17,24.24,9.73,7.47,370,1
6.6,28.18,7.23,10.04,302,0
8.35,26.09,6.3,9.05,223,1
6.7,21.41,3.42,8.44,212,0
8.19,21.91,3.34,8.41,239,1
8.31,22.57,0.88,11.76,476,1
8.46,16.89,7.42,10.29,514,1
8.1,18.32,0.91,8.48,374,1
8.06,29.46,0.55,8.35,230,1
7.78,22.78,7.43,5.19,366,1
8.06,19.29,9.51,11.6,594,1
6.77,26.25,7.69,7.23,299,0
7.57,30.11,4.98,6.79,396,1
7.53,20.15,5.12,12.0,415,1
8.22,31.54,4.64,10.03,331,1
7.43,33.55,3.58,5.33,375,1
7.27,26.95,5.46,5.43,388,1
7.78,28.38,4.6,5.18,389,1
7.03,16.05,6.18,9.2,487,1
6.78,33.91,9.03,5.5,432,0
7.46,22.85,9.95,11.53,221,1
7.33,33.48,1.25,11.56,202,1
6.97,26.58,4.15,8.82,364,0
7.24,15.09,2.22,9.32,563,1
7.23,15.77,3.85,7.04,214,1
7.15,28.61,3.23,5.45,228,1
7.26,26.25,2.16,10.16,471,1
7.87,15.53,7.76,5.71,380,1
7.09,29.87,5.21,5.6,292,1
8.4,32.04,9.23,7.18,282,1
8.33,24.93,0.81,5.09,466,1
7.46,24.32,1.14,8.04,409,1
7.16,15.11,4.33,9.95,455,1
7.57,30.73,1.26,10.61,312,1
8.2,21.61,3.0,9.23,410,1
7.81,32.58,9.87,10.93,544,1
8.11,22.46,2.49,7.85,326,1
7.57,26.3,2.38,10.94,358,1
7.77,20.41,5.95,8.55,265,1
7.08,18.21,5.23,6.56,455,1
7.97,30.5,6.01,11.61,213,1
6.9,24.93,4.08,6.92,299,0
7.89,25.73,8.35,5.18,485,1
8.22,34.31,1.82,6.7,207,1
6.76,34.27,4.57,7.57,595,0
7.73,32.11,7.05,7.46,361,1
6.69,18.75,8.75,8.67,359,0
7.95,26.89,4.01,11.18,414,1
6.67,32.56,5.89,7.05,455,0
8.37,22.49,1.16,8.65,383,1
6.77,17.02,2.12,7.38,553,0
8.42,31.22,1.16,10.75,584,1
8.1,24.64,7.41,6.1,280,1
7.69,26.29,3.24,5.72,482,1
8.07,34.64,7.38,8.52,320,1
8.09,27.14,1.13,9.7,598,1
8.39,23.5,8.69,10.57,301,1
7.01,22.4,8.44,9.13,318,1
7.68,23.35,1.34,10.42,485,1
6.69,17.37,0.73,7.75,515,0
7.73,30.9,1.03,5.23,251,1
6.84,31.75,8.61,5.81,422,0
7.63,20.69,2.73,5.27,338,1
7.64,21.08,5.71,7.3,444,1
7.43,32.49,4.55,8.47,422,1
7.55,15.48,8.06,7.49,594,1
8.03,25.41,5.14,8.92,573,1
8.1,24.27,5.26,8.36,461,1
7.48,28.8,9.9,9.75,471,1
7.7,18.27,1.93,9.67,559,1
8.36,28.37,8.39,7.23,273,1
6.74,22.53,0.99,7.42,490,0
6.73,27.37,5.04,9.1,508,0
6.68,15.8,8.92,9.18,250,0
7.82,24.23,6.82,7.2,552,1
7.34,25.45,7.01,7.31,479,1
8.05,19.29,3.0,9.86,338,1
7.84,17.79,4.48,9.53,393,1
7.17,18.77,3.98,5.95,395,1
8.3,21.88,5.45,8.09,567,1
8.03,16.94,4.89,11.25,587,1
7.04,33.95,3.61,5.25,522,1
7.23,23.1,3.4,10.99,460,1
7.13,31.18,2.88,6.14,241,1
6.82,34.49,3.97,8.55,565,0
6.8,16.61,1.92,7.97,253,0
8.37,28.03,8.78,5.07,266,1
7.38,32.43,6.22,11.41,227,1
7.27,27.68,1.77,8.18,579,1
7.96,23.58,7.09,11.68,397,1
7.61,23.62,8.55,7.01,294,1
8.37,15.72,2.76,11.06,232,1
8.06,25.69,1.93,11.46,364,1
7.46,34.87,0.58,8.9,489,1
7.25,34.17,0.95,6.42,597,1
8.47,15.81,7.74,9.8,420,1
7.94,29.12,9.88,8.84,442,1
8.4,21.04,0.93,11.61,534,1
6.74,33.06,7.61,8.07,560,0
8.2,15.9,1.18,6.88,311,1
7.77,33.72,6.13,5.97,596,1
6.74,31.75,7.68,9.89,407,0
7.68,17.35,3.91,11.82,572,1
7.87,16.2,0.6,5.2,246,1
6.52,31.69,6.15,10.18,238,0
7.41,18.12,9.92,11.49,553,1
8.15,25.7,2.95,5.52,469,1
7.09,33.31,2.3,5.77,270,1
7.42,26.35,1.68,9.84,557,1
7.38,22.94,5.77,9.54,240,1
7.1,23.9,6.17,5.48,472,1
8.34,16.26,8.03,10.84,282,1
8.06,34.38,7.65,8.66,228,1
6.72,21.21,8.98,11.35,522,0
8.49,18.79,8.15,11.15,538,1
8.26,20.72,2.85,10.69,242,1
7.07,34.29,5.78,8.61,237,1
8.17,16.89,3.33,6.76,445,1
6.71,32.35,3.63,8.54,211,0
8.5,29.16,9.35,5.71,498,1
7.83,31.6,6.98,9.61,566,1
7.8,34.52,9.76,5.94,500,1
6.68,31.84,4.46,8.58,292,0
8.29,33.87,5.61,5.38,276,1
6.56,17.54,5.13,7.1,472,0
6.98,30.92,1.52,6.62,224,0
6.79,25.91,2.75,9.34,415,0
8.05,25.87,5.51,10.51,379,1
6.9,32.98,1.14,5.4,497,0
8.32,34.44,9.35,10.95,280,1
7.81,29.1,1.68,11.03,504,1
6.57,24.66,2.38,7.4,479,0
6.51,24.13,7.77,9.61,295,0
6.6,22.73,1.42,7.82,342,0
7.71,22.23,9.05,6.08,226,1
8.1,22.83,7.39,8.7,379,1
6.98,16.8,1.15,5.6,304,0
8.2,16.55,7.07,11.15,245,1
6.61,30.6,6.5,11.47,423,0
8.1,23.92,7.69,10.75,427,1
8.36,33.61,8.37,8.94,234,1
8.04,27.24,7.32,8.9,274,1
7.9,15.7,6.07,11.89,233,1
8.18,18.15,3.56,6.74,471,1
6.58,19.12,7.12,5.53,335,0
6.9,34.51,9.59,8.93,228,0
6.75,19.37,6.08,7.3,276,0
7.51,25.32,6.81,7.26,590,1
7.99,33.72,4.65,5.05,302,1
7.76,34.54,7.68,9.17,473,1
8.2,19.73,9.98,6.85,387,1
6.81,15.98,2.02,6.32,272,0
7.97,18.07,2.42,5.28,322,1
6.89,16.27,5.62,7.55,205,0
7.04,18.9,5.07,11.15,498,1
7.92,26.37,5.93,7.36,333,1
8.46,33.25,0.97,9.75,399,1
7.72,25.74,4.34,10.3,261,1
6.61,27.52,6.04,7.3,529,0
7.73,19.04,6.06,10.75,287,1
6.58,31.01,6.74,9.84,426,0
8.27,27.36,7.34,8.91,549,1
7.92,32.28,6.59,5.01,485,1
6.85,33.98,8.01,5.25,441,0
6.68,21.96,6.44,11.94,555,0
6.87,16.81,5.61,10.48,270,0
8.46,19.52,6.26,11.56,585,1
7.42,23.76,1.46,11.32,422,1
8.07,33.91,3.09,5.14,363,1
7.77,22.57,5.51,10.54,302,1
7.64,30.42,8.79,8.16,497,1
6.79,25.81,6.95,10.53,590,0
8.39,18.66,1.36,5.05,476,1
7.1,21.41,6.13,7.02,213,1
7.66,28.06,2.61,10.26,387,1
7.9,28.46,7.47,10.55,492,1
7.8,23.7,8.36,9.34,358,1
8.38,19.57,6.14,7.11,509,1
6.8,29.44,6.12,7.17,482,0
7.52,18.38,3.72,11.77,226,1
7.31,33.73,4.74,8.07,423,1
7.45,18.76,8.71,8.13,268,1
6.74,17.15,7.37,8.87,394,0
6.77,24.95,5.44,7.87,353,0
7.06,25.39,4.0,8.87,522,1
7.11,25.16,0.98,8.03,547,1
7.36,23.73,1.86,10.79,384,1
7.72,34.9,2.33,11.36,414,1
7.77,24.73,4.05,11.52,450,1
7.32,24.56,9.47,8.95,462,1
7.32,23.44,5.3,8.1,454,1
6.94,16.34,2.73,9.94,513,0
7.68,26.86,1.5,10.87,592,1
7.13,19.56,3.71,8.94,531,1
6.57,27.75,8.25,9.9,253,0
7.34,16.02,4.14,10.25,390,1
7.45,34.63,7.84,9.73,384,1
6.95,24.38,8.13,10.22,403,0
7.64,32.94,1.55,6.46,411,1
7.63,24.51,6.28,8.49,487,1
7.9,16.21,9.61,9.12,368,1
7.8,31.44,4.32,5.02,305,1
7.8,27.96,0.98,10.99,383,1
7.13,30.64,9.27,9.27,541,1
8.07,23.56,8.89,5.9,324,1
7.6,27.76,5.46,10.71,208,1
7.36,32.12,5.75,10.02,590,1
7.75,27.62,2.51,10.31,278,1
7.22,21.95,8.28,7.74,441,1
7.53,28.25,5.24,10.98,520,1
7.97,28.44,0.82,7.9,309,1
8.27,34.21,6.99,8.99,336,1
8.34,22.42,9.53,5.0,312,1
7.51,23.5,8.38,9.51,259,1
7.54,31.24,3.13,10.03,261,1
8.1,25.12,1.01,8.97,274,1
7.13,29.73,9.43,8.48,383,1
8.17,24.19,9.4,10.67,412,1
7.49,19.31,5.56,9.77,206,1
6.73,29.9,6.6,6.95,538,0
6.64,17.62,4.89,11.71,470,0
8.18,18.97,4.49,9.95,228,1
6.61,27.54,1.63,11.92,537,0
7.06,29.95,1.42,11.8,212,1
7.17,32.89,2.71,11.43,424,1
6.85,20.45,8.45,10.29,386,0
7.13,17.21,1.89,9.27,400,1
7.99,34.12,2.65,6.21,582,1
6.53,18.09,5.71,8.8,570,0
8.15,18.95,2.54,10.36,311,1
8.21,20.83,2.05,8.65,431,1
7.24,25.59,5.85,11.08,583,1
6.81,32.66,4.0,5.77,491,0
7.7,30.21,6.45,7.67,555,1
6.74,29.16,9.17,8.54,373,0
7.23,18.5,1.93,8.03,313,1
8.42,22.15,9.18,5.76,404,1
8.49,24.57,9.07,6.07,526,1
8.04,17.95,8.38,10.86,571,1
7.12,20.47,6.5,8.39,474,1
7.88,21.17,6.39,5.34,482,1
7.91,17.55,6.57,5.12,404,1
7.28,26.0,7.06,8.31,327,1
7.78,29.1,0.66,6.15,369,1
6.52,16.4,9.6,9.94,399,0
6.92,24.62,6.06,10.57,526,0
7.55,30.64,7.92,6.6,422,1
6.83,29.96,4.08,9.15,517,0
6.83,31.3,0.62,6.08,210,0
8.17,23.96,5.34,7.13,502,1
8.48,31.41,5.32,11.22,402,1
7.61,19.82,4.65,8.81,599,1
8.18,22.22,3.73,11.2,388,1
8.48,18.53,2.87,6.58,391,1
6.78,24.35,5.51,7.31,250,0
7.4,22.84,4.07,8.3,522,1
7.29,19.82,9.71,8.36,480,1
6.66,30.04,2.14,11.98,544,0
8.01,21.28,3.54,5.8,237,1
7.37,20.46,3.29,10.96,284,1
7.44,17.62,5.66,11.05,550,1
6.8,23.78,5.24,8.87,216,0
6.86,21.06,6.62,7.41,403,0
8.31,22.39,9.53,8.63,361,1
6.59,19.72,3.21,7.05,575,0
6.97,30.26,7.08,10.59,542,0
7.08,33.6,0.74,8.49,558,1
7.48,24.96,2.99,11.48,315,1
7.67,27.86,4.91,9.36,435,1
7.49,32.34,0.79,8.6,480,1
6.67,34.98,6.37,9.98,586,0
6.99,27.27,6.94,8.53,202,0
8.19,32.8,7.59,11.33,590,1
7.78,33.17,5.41,6.29,342,1
7.8,30.83,6.24,11.81,251,1
7.84,24.22,4.26,10.69,446,1
8.03,16.62,0.89,11.03,512,1
6.62,15.32,1.45,8.38,251,0
7.23,24.54,6.72,10.86,216,1
7.58,24.89,9.96,7.15,558,1
7.18,23.15,0.65,10.33,573,1
8.19,26.36,5.8,5.98,262,1
7.47,26.04,7.63,7.15,561,1
8.04,31.73,8.35,8.12,563,1
8.2,17.17,5.68,7.26,598,1
7.51,19.5,6.39,7.71,286,1
8.32,30.86,7.12,10.74,431,1
7.67,31.96,8.66,6.8,597,1
8.2,34.9,1.66,10.22,561,1
7.18,32.46,9.3,5.52,441,1
7.5,32.8,0.75,10.36,278,1
7.56,21.29,8.44,10.54,233,1
6.71,23.03,1.23,7.81,303,0
7.3,20.36,2.35,10.06,226,1
8.33,27.13,0.54,11.41,278,1
7.76,33.78,4.73,10.6,229,1
6.86,21.89,3.68,7.73,504,0
7.18,26.14,2.08,8.39,435,1
6.88,20.93,4.79,10.46,407,0
6.55,18.4,4.32,7.05,523,0
8.35,18.9,7.79,10.63,364,1
7.4,16.16,8.98,7.3,361,1
7.12,33.99,6.7,10.64,282,1
7.7,23.06,1.68,5.61,377,1
6.51,31.68,3.31,5.31,269,0
7.06,28.63,9.18,11.98,435,1
7.91,18.84,1.34,11.09,598,1
7.77,18.51,4.37,11.18,413,1
8.46,31.24,9.45,11.66,319,1
7.74,20.29,9.53,8.07,475,1
7.46,33.27,4.41,7.01,528,1
8.02,17.8,6.84,5.91,388,1
8.31,28.55,4.84,8.51,300,1
7.94,31.29,7.66,6.54,485,1
8.43,19.71,0.8,11.55,274,1
8.06,20.52,1.87,5.03,598,1
8.23,34.29,6.33,6.0,327,1
6.73,20.29,2.71,6.73,340,0
7.96,23.6,6.83,6.39,490,1
7.38,23.65,3.84,6.58,204,1
7.61,20.06,8.92,9.59,281,1
7.81,30.52,8.28,7.29,250,1
8.44,30.44,5.18,9.31,356,1
8.47,22.57,7.84,11.23,421,1
7.08,31.7,3.08,9.22,271,1
7.97,19.26,5.2,9.86,337,1
8.0,15.09,2.38,7.56,508,1
7.19,26.42,8.68,6.12,575,1
6.75,34.88,8.32,7.24,205,0
6.58,15.77,9.07,11.75,450,0
8.05,19.16,8.84,9.35,210,1
7.48,25.38,9.62,6.94,408,1
8.47,31.2,2.67,8.16,551,1
7.43,16.78,9.35,10.85,519,1
8.46,22.9,5.93,9.68,293,1
7.32,29.94,4.51,8.92,303,1
8.09,22.43,5.82,11.2,513,1
6.67,18.78,3.75,9.71,527,0
7.61,18.91,3.24,9.5,312,1
8.1,23.2,2.79,6.33,201,1
8.35,24.59,1.28,5.74,377,1
8.15,32.24,5.22,11.76,447,1
6.57,27.85,8.93,9.19,377,0
7.25,28.81,6.49,7.91,573,1
6.6,34.66,5.45,9.12,525,0
6.72,23.24,4.57,5.43,515,0
7.85,23.07,4.91,10.75,208,1
7.93,33.47,2.49,6.52,541,1
8.05,19.92,8.32,10.63,502,1
8.23,29.6,2.38,8.74,358,1
7.98,30.09,7.31,6.94,435,1
8.1,16.96,7.72,5.21,529,1
6.6,24.36,5.96,10.71,562,0
6.97,19.01,8.7,6.24,420,0
7.74,18.71,3.26,5.36,216,1
8.22,24.28,8.88,10.29,447,1
6.51,20.79,7.43,7.45,472,0
7.53,30.92,8.09,7.73,223,1
7.85,33.15,6.81,6.73,526,1
6.56,31.05,8.54,11.01,280,0
7.3,20.32,9.93,7.08,556,1
8.29,20.48,4.49,6.47,420,1
7.84,20.09,8.23,7.16,328,1
6.98,17.7,7.57,6.42,223,0
8.21,33.88,4.8,7.22,207,1
7.2,23.04,9.31,5.58,496,1
8.21,19.49,4.25,6.11,350,1
7.1,31.93,5.87,7.92,536,1
7.68,22.98,1.51,11.16,292,1
7.29,15.7,2.64,5.4,568,1
7.05,18.24,8.49,6.49,576,1
8.27,27.79,4.27,11.36,240,1
6.88,30.66,4.24,11.23,458,0
6.67,19.22,2.84,9.76,575,0
7.18,33.35,5.17,6.68,329,1
7.94,32.02,8.16,7.94,227,1
8.11,31.97,9.0,6.48,550,1
8.5,19.55,1.17,5.9,389,1
7.09,16.01,5.96,7.66,210,1
7.32,32.35,4.94,9.03,536,1
6.77,21.12,6.34,7.52,471,0
7.65,27.38,4.75,9.28,228,1
8.5,30.2,4.29,7.07,303,1
7.9,17.57,4.98,7.42,207,1
7.69,30.62,6.03,10.53,581,1
7.28,33.77,5.26,11.15,209,1
8.33,29.57,4.99,7.25,518,1
7.49,23.82,8.27,9.0,404,1
6.77,32.53,7.58,6.95,433,0
7.23,25.55,3.74,5.37,524,1
6.63,29.9,8.11,10.17,557,0
6.9,31.41,8.61,6.2,250,0
6.54,29.99,1.96,7.98,207,0
7.41,20.76,6.04,8.41,249,1
7.77,17.36,3.21,6.29,473,1
7.19,19.77,7.52,5.66,427,1
7.34,25.06,2.77,7.44,233,1
8.42,25.11,6.88,11.67,293,1
8.0,26.65,2.92,9.31,414,1
7.58,22.9,5.36,7.67,492,1
7.07,30.74,9.51,5.27,337,1
8.29,33.26,4.12,9.2,579,1
6.97,19.93,8.82,5.65,596,0
7.15,29.73,9.88,8.8,506,1
8.32,28.56,8.81,10.26,381,1
7.56,25.46,2.08,7.97,550,1
